qid,docno,label
018,1390762,1
018,1390775,2
018,1390809,1
018,1391777,1
018,1396258,1
018,1403220,2
018,1404005,1
018,1404203,2
018,1404427,1
018,1453545,1
018,1479786,2
018,1482734,1
018,1482961,1
018,1544171,2
018,1560986,2
018,1561404,1
018,1561414,2
018,1571046,1
018,1580247,2
018,1590152,1
018,1591038,1
018,1591040,2
018,1613853,2
018,1613871,1
018,1660574,2
018,1700287,1
018,1700437,2
018,1725151,1
018,1725154,1
018,1803363,2
018,1803932,1
018,1803948,2
018,1803969,1
018,1804000,2
018,1804064,1
018,1830030,1
018,1831063,2
018,1834781,2
018,1834792,2
018,1834798,2
018,1857863,1
018,1861600,1
018,1884243,1
018,1884747,2
018,1902653,2
018,1902681,1
018,1902684,2
018,1904180,2
018,1904183,1
018,1904469,1
018,1905694,2
018,1980306,2
018,1983769,1
018,1983945,1
018,1984078,2
018,2000630,1
018,2006079,2
018,2013362,1
018,2060284,1
018,2228468,1
018,2228472,2
018,2269484,1
018,2315785,1
018,2371589,1
018,2381004,1
018,2382374,1
018,2395680,1
018,2402473,1
018,2439039,1
018,2439081,1
018,2439165,2
018,2446161,2
018,2453709,1
018,2454913,2
018,2454925,2
018,2454941,2
018,2454954,2
018,2454963,2
018,2498294,1
018,2519386,2
018,2572489,2
018,2572503,1
018,2583345,1
018,2620841,1
018,2621882,2
018,2621901,2
018,2625257,2
018,2625277,1
018,2625279,2
018,2651866,2
018,2656186,2
018,2669229,2
018,2669290,2
018,2674089,2
018,2719711,2
018,2734775,2
018,2778525,1
018,2780935,1
018,2799638,2
018,2799639,2
018,2851334,1
018,2878703,2
018,2880146,1
018,2880148,1
018,2884587,1
018,2919169,1
018,3002717,1
018,3089857,2
018,3091207,2
018,3106223,1
018,3106229,2
018,3142456,2
018,3158245,1
018,3173874,2
018,3185761,2
018,3197823,2
018,3197824,2
018,3220225,2
018,3256318,1
018,3257043,2
018,3265549,2
018,3282571,1
018,3294244,2
018,3294250,2
018,3312772,2
018,3312780,1
018,3312789,2
018,3329564,1
018,3341336,2
018,3372587,2
018,3392686,1
018,3396379,2
018,3409187,2
018,3409188,1
018,3410102,1
018,3438354,1
018,3462982,1
018,3463922,2
018,3510198,2
018,3510980,1
018,3578382,1
018,3585115,1
018,3585121,2
018,3585125,1
018,3585133,2
018,3585146,2
018,3586093,2
018,3591117,1
018,3602037,2
018,3659426,1
018,3659456,1
018,3663046,1
018,3663053,2
018,3701726,1
018,3703240,2
018,3706126,1
018,3729331,1
018,3734066,1
018,3738989,1
018,3798487,1
018,3834906,1
018,3845414,2
018,3872996,2
018,3879687,1
018,3901463,1
018,3923319,2
018,3933805,2
018,3933806,2
018,3943886,2
018,3963502,1
018,3997971,1
018,4064620,2
018,4067730,2
018,4068586,1
018,4068587,1
018,4191817,1
018,4229758,2
018,4240535,2
018,4254677,1
018,4255632,1
018,4256357,1
018,4256368,2
018,4280766,1
018,4285850,1
018,4285866,1
018,4375241,1
018,4377638,2
018,4377980,2
018,4383050,2
018,4383063,2
018,4395625,2
018,4398514,1
018,4398621,2
018,4498742,1
018,4530795,2
018,4532306,2
018,4534499,1
018,4534506,2
018,4603316,1
018,4615270,1
019,0740975,1
019,0847581,2
019,0992258,1
019,1023496,1
019,1415964,1
019,1879410,1
019,1965712,1
019,2525985,1
019,3485150,1
023,0331216,1
023,0758798,2
023,0758803,2
023,0758823,2
023,0847854,1
023,1213044,1
023,1857981,1
023,2347833,2
023,2616867,1
023,4388879,1
023,4485873,1
024,0758805,1
024,1471217,1
024,2413712,1
024,2505548,1
024,3888929,1
024,4201394,1
024,4388879,1
024,4388914,2
029,0277985,1
029,0297590,1
029,0372737,1
029,0396870,1
029,0419591,2
029,0442416,1
029,0501591,1
029,0744075,1
029,0802161,1
029,0819692,1
029,0820368,1
029,0955996,1
029,1075061,1
029,1118291,1
029,1131162,2
029,1217260,1
029,1231959,2
029,1275343,1
029,1289693,2
029,1291559,1
029,1297609,1
029,1328584,1
029,1433175,1
029,1454094,1
029,1475194,1
029,1475203,2
029,1475208,1
029,1528891,1
029,1582054,2
029,1615349,1
029,1620386,1
029,1648538,1
029,1703059,1
029,1714359,1
029,1714493,2
029,2003390,1
029,2115098,1
029,2185809,1
029,2277200,1
029,2424315,1
029,2436055,1
029,2663159,1
029,2687447,1
029,2692652,1
029,2705282,2
029,2814568,1
029,2934492,1
029,3184103,1
029,3184123,1
029,3194322,1
029,3246841,1
029,3258215,1
029,3301364,2
029,3341996,1
029,3444745,1
029,3458232,2
029,3465284,1
029,3567627,1
029,3581392,1
029,3582278,1
029,3635254,1
029,3871889,1
029,3973432,1
029,4025032,1
029,4066830,1
029,4136218,1
029,4202175,2
029,4353425,1
029,4382632,1
029,4524278,1
030,0358509,1
030,0372737,1
030,0380857,1
030,0691429,1
030,0817621,1
030,0955999,1
030,0956001,1
030,1014696,1
030,1729555,1
030,2151011,1
030,2254119,1
030,2401887,1
030,2869847,1
030,3031551,1
030,3555771,1
030,3855097,1
030,4053159,1
030,4109825,1
031,0178683,1
031,0306278,1
031,0372737,1
031,0373064,2
031,1193397,1
031,1714359,1
031,2002872,1
031,3168662,1
031,3613097,1
031,3743834,1
034,0224926,1
034,0434726,1
034,0537278,1
034,1061456,1
034,1061538,1
034,1061710,2
034,1061744,1
034,1460444,1
034,1465605,1
034,1853562,1
034,1933699,1
034,2361193,1
034,2757245,1
034,2840987,2
034,2934225,1
034,2934317,1
034,3087138,1
034,3353520,1
034,3425493,1
034,3860299,1
034,3867189,1
034,4028517,1
034,4028572,1
034,4028585,1
034,4343165,1
034,4548880,1
035,0007083,1
035,0243563,1
035,0410467,2
035,0415227,2
035,0434726,1
035,0471668,2
035,0480328,2
035,0526989,1
035,0818286,1
035,0819089,2
035,0819146,2
035,0819439,1
035,0819720,2
035,0820226,2
035,1295875,2
035,1356493,2
035,1356499,1
035,1473107,1
035,1482349,1
035,1544764,1
035,1558669,2
035,1681169,1
035,1848493,1
035,1853562,1
035,1865235,2
035,1909481,2
035,1933699,1
035,1979135,1
035,2020681,1
035,2163609,2
035,2176070,2
035,2178815,1
035,2183888,2
035,2185261,1
035,2185996,1
035,2194322,2
035,2195254,2
035,2352230,1
035,2691106,1
035,2700602,2
035,2825971,2
035,2838957,1
035,3099032,1
035,3160328,1
035,3162248,1
035,3181844,2
035,3247220,2
035,3458322,2
035,3474109,2
035,3498003,1
035,3555802,1
035,3564723,2
035,3666697,1
035,3959902,1
035,4028314,1
035,4198317,2
035,4336837,2
035,4556359,1
035,4624244,2
036,0537278,1
036,0702357,1
036,1003488,2
036,1681169,1
036,1714512,1
036,1848493,1
036,2194287,1
036,2352230,1
036,2934101,1
036,3036440,1
036,4028517,1
036,4028572,2
036,4199901,1
036,4211411,1
040,0513108,1
040,0513115,2
040,1052233,2
040,1068776,1
040,1069172,2
040,1069202,1
040,1069410,1
040,1476275,2
040,1532721,1
040,1636862,1
040,1658280,1
040,1682803,1
040,2913390,1
040,2913392,1
040,2913393,1
040,2913394,1
040,3125110,1
040,3439576,1
040,3449111,1
040,3538812,1
040,4196184,1
040,4239602,1
040,4253252,1
041,0416772,2
041,0627943,1
041,1069652,1
041,2491437,1
041,2511262,1
041,2844771,1
041,3724949,1
041,4390461,1
041,4410686,1
042,0329123,1
042,0481072,1
042,0707708,1
042,0751789,2
042,1069646,1
042,1069660,1
042,1272276,1
042,1583564,2
042,1690320,1
042,1861106,1
042,2517716,1
042,2560340,1
042,2908885,1
042,2997391,1
042,3071329,1
042,3167874,1
042,4493061,1
043,1068965,1
043,1955716,1
044,0622683,1
044,0622786,1
044,0627961,1
044,0627962,1
044,0628018,1
044,1068936,1
044,1068965,1
044,3538905,1
044,3671604,2
044,3977424,1
044,4235589,1
048,0194182,1
048,0227456,1
048,0536356,1
048,0699091,1
048,0806339,1
048,0989172,1
048,1044487,1
048,1081545,2
048,1556842,1
048,1588215,1
048,1714468,1
048,1916240,2
048,2010771,1
048,2632950,1
048,2632957,1
048,2738411,1
048,2933622,1
048,2933638,1
048,2933654,1
048,2933731,1
048,2933798,1
048,2934876,1
048,3078416,2
048,3137232,1
048,3170772,1
048,3382342,1
048,3514577,2
048,3997163,1
048,4011346,1
048,4558335,2
049,0324630,1
049,0352444,2
049,0358494,1
049,0481527,1
049,0687646,1
049,0796880,1
049,1204905,2
049,1236693,1
049,1424926,1
049,1523071,1
049,1751725,1
049,1774329,1
049,1969931,1
049,1969932,1
049,1969987,1
049,1971624,2
049,1972448,2
049,2055523,1
049,2235928,2
049,2396778,2
049,2637219,1
049,2824469,2
049,2824522,1
049,2839386,2
049,2933389,2
049,2952016,2
049,2994455,1
049,3018015,1
049,3019318,2
049,3034629,1
049,3072083,1
049,3360116,2
049,3858421,2
049,3865047,2
049,4028487,2
049,4109702,1
049,4109738,1
049,4391833,2
049,4532117,2
050,0324646,1
050,0375312,1
050,0405544,1
050,0433742,1
050,0513747,1
050,0573298,1
050,0796679,1
050,0797546,1
050,1021975,1
050,1022077,1
050,1287373,1
050,1388445,1
050,1413157,1
050,1507246,1
050,1646730,1
050,1675484,1
050,1966569,1
050,1966570,1
050,1966574,1
050,1966578,2
050,1966580,1
050,1966582,1
050,1966602,1
050,1966605,1
050,1966606,1
050,1966607,1
050,1966608,1
050,1966615,1
050,1971050,1
050,2447453,1
050,2982237,1
050,3451450,1
050,3625378,1
050,3735982,1
050,3922679,1
050,3950789,1
050,4008781,1
050,4318935,1
050,4523850,1
050,4526066,1
050,4547376,1
051,0713494,1
051,3029708,1
051,3029710,1
051,3029714,1
051,3029752,1
051,3029823,1
058,0543346,1
058,0567026,2
058,2677021,1
058,2837972,1
058,3426647,1
059,3853249,2
059,3853250,1
059,3853251,1
060,1289030,1
060,1289032,1
060,1643646,1
060,1699141,1
060,3321692,1
060,3321693,1
061,0319926,1
061,1538594,1
061,2547681,2
061,3137199,2
061,4226824,2
063,0706250,1
063,0758911,1
063,1593451,1
063,1640451,1
063,1793682,1
063,1857210,1
063,2205244,1
063,2386411,2
063,2523502,1
063,2523515,2
063,3369173,1
063,4180615,1
063,4187065,1
063,4352514,1
063,4367759,2
063,4367760,1
065,0254715,1
065,0591004,1
065,0910904,1
065,2469479,1
065,2491815,1
065,3148998,1
065,3205408,1
065,3453314,2
065,3807156,1
065,3960652,1
065,4537697,1
066,1054280,2
066,1286244,1
066,1851620,1
066,1928536,1
066,2513593,1
066,2516602,1
066,2517472,1
066,2517474,1
066,3168475,1
066,3983466,1
066,3984288,2
066,4630643,1
069,0482450,1
069,1968185,1
069,3086382,1
069,4197106,1
073,1597257,2
073,1881203,2
073,1881204,1
073,1881276,1
073,1881358,1
075,0468092,2
075,0468119,2
075,0769271,1
075,1140950,1
075,2044024,1
075,2126783,1
075,2126843,1
075,2413931,1
075,2414496,1
075,2509419,1
075,2665352,1
075,3001701,1
075,3545541,1
075,4197581,1
077,0307287,2
077,0307288,2
077,0307289,1
077,0307291,2
077,0307292,1
077,0307295,1
077,2512919,1
077,3840443,1
078,0526295,1
078,0627508,1
078,0641645,1
078,0643020,1
078,0870540,1
078,1060271,1
078,1088931,1
078,1951872,1
078,1953052,1
078,2074317,1
078,2074318,1
078,2221002,1
078,2323430,1
078,2483742,1
078,2662749,1
078,2664514,1
078,3202001,2
078,3404517,1
078,3451619,1
078,3591203,1
078,3591211,1
078,3634233,1
078,4068538,1
081,0247463,1
081,0403981,1
081,1121349,2
081,1490226,1
081,1514839,1
081,2123332,1
081,2290753,1
081,2478862,1
081,2527715,1
081,2534635,1
081,2613894,1
081,3382347,1
081,4464222,2
086,0285131,2
086,0816921,1
086,1126634,1
086,1749733,2
086,3753090,1
087,0229875,1
087,0607368,2
087,0845792,1
087,1271716,1
087,1304163,2
087,1440171,1
087,1564057,2
087,1604124,1
087,1685895,1
087,1698420,1
087,1764119,1
087,1799947,1
087,1853565,1
087,1883180,1
087,1958707,1
087,2623061,1
087,3027144,1
087,3485425,1
087,3534734,1
087,3558655,1
087,4049577,1
087,4544744,2
087,4599198,1
088,0884679,1
088,0900466,1
088,1684671,1
088,2233600,1
088,2508208,1
088,2508241,1
088,2508352,1
088,2508410,1
088,3210035,1
088,3317012,1
088,4222091,2
088,4323967,1
088,4580190,1
089,0239869,1
089,0297061,1
089,0328966,1
089,0358558,1
089,0366929,1
089,0485839,1
089,0641055,1
089,0720865,1
089,1046641,1
089,1204278,1
089,1517881,1
089,1807702,1
089,1886268,2
089,1900965,2
089,1952588,1
089,2224123,1
089,2227468,1
089,2233473,1
089,2234166,1
089,2284017,1
089,2416498,2
089,2544191,1
089,2544213,1
089,2567547,1
089,2574873,1
089,2576775,1
089,2816474,1
089,2989360,1
089,3092514,1
089,3113414,1
089,3383700,1
089,3447866,1
089,3448373,1
089,3514075,1
089,3569157,1
089,3676991,1
089,3937078,1
089,3958712,1
089,4318669,1
089,4418153,1
089,4455450,1
089,4455947,1
089,4551959,1
089,4581089,1
089,4611651,1
089,4613794,1
093,0256692,1
093,0329769,1
093,0531048,1
093,0841304,1
093,1617110,1
093,1982422,1
093,2558144,1
093,2838126,1
093,3168525,1
093,4548401,1
096,1187707,2
096,1385521,2
096,2081099,2
096,2166883,2
096,2250456,2
096,2555491,1
096,2975369,2
096,3043561,2
096,3226484,2
096,3618397,1
096,3994272,2
098,0532308,1
098,1715350,1
098,1715408,2
098,2838528,2
098,2936216,1
098,3146630,1
098,3799409,1
098,3801112,1
098,3832749,1
098,4484489,1
098,4536508,1
099,0303834,2
099,0375831,1
099,0510002,1
099,0552605,1
099,0664509,1
099,1087004,1
099,1184366,2
099,1215768,2
099,1375961,1
099,1516281,1
099,1599702,1
099,2099244,1
099,2108656,1
099,2185901,1
099,2487704,1
099,2487842,1
099,2497859,1
099,2831898,1
099,3150563,2
099,3566256,1
099,3929155,1
099,4524977,1
100,0192296,1
100,0420227,2
100,0420262,1
100,0420281,1
100,0420298,2
100,1020992,1
100,1850429,1
100,1916925,2
100,1967988,1
100,2639307,2
100,2639309,2
100,2639312,2
100,2639313,2
100,2639315,2
100,2639318,1
100,2639320,1
100,2639321,1
100,2641618,1
100,2994897,1
100,2994898,1
100,2994899,2
100,3095079,1
100,3095213,2
100,3508104,2
100,3901599,1
100,4529132,1
103,0239671,2
103,0417563,1
103,0485759,1
103,0499427,2
103,0586702,1
103,0975057,2
103,1002681,1
103,1020666,2
103,1163007,1
103,1192164,1
103,1250307,1
103,1607189,2
103,1609987,2
103,1868669,1
103,1868912,2
103,2027391,1
103,2045790,1
103,2300928,2
103,2300949,2
103,2536217,1
103,2578678,2
103,2660083,1
103,2669606,2
103,2672328,2
103,2677021,1
103,3028590,2
103,3112376,1
103,3143949,1
103,3168793,1
103,3192547,2
103,3198827,1
103,3350145,2
103,3350224,2
103,3350541,2
103,3362278,2
103,3506700,1
103,3538756,1
103,3651244,1
103,3672882,2
103,3682951,1
103,3807983,1
103,3864446,2
103,3907602,1
103,3978259,2
103,4001380,1
103,4210248,1
103,4288211,2
103,4385418,1
103,4471344,2
103,4477674,1
104,0299743,1
104,0364816,2
104,0379704,1
104,0645786,2
104,0683720,2
104,0816366,2
104,1167860,2
104,1229705,2
104,1326695,1
104,1371095,2
104,1374704,2
104,1394106,1
104,1543573,2
104,1558991,1
104,1569566,1
104,1634041,1
104,1730312,1
104,1773764,2
104,1778932,2
104,1827196,1
104,1830105,2
104,1987557,1
104,2001927,2
104,2059300,1
104,2115402,2
104,2128575,2
104,2166872,2
104,2185671,1
104,2243374,2
104,2313845,1
104,2520815,1
104,2589977,1
104,2751949,2
104,2826684,2
104,3001936,2
104,3102409,2
104,3181655,2
104,3228075,1
104,3412687,2
104,3437958,2
104,3604132,2
104,3659069,2
104,3666432,1
104,3722908,2
104,3780502,2
104,3961645,2
104,4005707,2
104,4217645,2
104,4377154,2
104,4382624,2
104,4421943,2
104,4509313,2
104,4510484,2
104,4534560,2
106,0036472,1
106,0038024,1
106,0040216,2
106,0052887,1
106,0061718,2
106,0062831,2
106,0077212,2
106,0077301,1
106,0079138,1
106,0081178,2
106,0090293,1
106,0090398,1
106,0092594,1
106,0092698,1
106,0095142,2
106,0097746,2
106,0097873,1
106,0100361,2
106,0103181,1
106,0106327,1
106,0106579,1
106,0110135,1
106,0114267,2
106,0119216,1
106,0131052,1
106,0137888,2
106,0138219,1
106,0495578,2
106,0587081,2
106,0718563,1
106,1021058,1
106,1075489,2
106,1260083,1
106,1400673,1
106,1401129,2
106,1494705,1
106,1533902,1
106,1616347,1
106,1896284,2
106,1999191,1
106,2480327,1
106,2480340,1
106,2543827,1
106,2620260,1
106,2879755,2
106,3229684,1
106,3353673,2
106,3612614,2
106,3673621,1
106,3871549,2
106,3983931,1
106,3988990,1
107,0048438,1
107,0057393,1
107,0072380,1
107,0079223,1
107,0103326,1
107,0110323,1
107,0119222,1
107,0145081,1
107,0595592,1
107,0695634,2
107,0703251,2
107,0719250,1
107,1152214,1
107,1399571,1
107,1494705,1
107,1851002,1
107,2081423,1
107,2147286,1
107,2255387,1
107,2441821,1
107,2480321,2
107,2480325,2
107,2480326,2
107,2480331,1
107,2734885,1
107,2764707,2
107,2788661,1
107,2844206,1
107,3042799,1
107,3156885,1
107,3480537,1
107,3512128,1
107,3720707,2
107,3725681,1
107,4042539,1
107,4287039,1
107,4523792,1
111,0209290,1
111,0209331,1
111,0419987,1
111,0419990,2
111,0556848,1
111,0556850,1
111,0604465,2
111,0607064,1
111,0623670,1
111,0760573,1
111,0802828,2
111,0802853,2
111,0803055,2
111,0803076,2
111,0803224,2
111,0803548,1
111,0803549,2
111,0803559,2
111,0803565,1
111,0803596,2
111,0803645,2
111,0803646,1
111,0803715,1
111,1412620,1
111,1616085,2
111,1616990,1
111,1686771,1
111,2387173,1
111,2398287,1
111,2885757,1
111,3038160,1
111,3100095,2
111,3117140,1
111,3621278,1
111,3705720,2
111,3711049,2
111,3846704,1
111,3988986,1
111,3989119,1
111,4185584,2
111,4353582,2
111,4620311,1
112,0629645,2
112,1261740,2
112,1275409,1
112,1322032,1
112,1322053,1
112,1322081,1
112,1600688,2
112,2098071,1
112,2126783,2
112,2495106,1
112,2503747,1
112,2623706,2
112,3368014,2
112,3368502,1
112,3520911,1
112,3581407,2
112,4328734,1
112,4328735,1
112,4328781,1
112,4329099,1
114,0051773,1
114,0051774,1
114,0055432,1
114,0064022,1
114,0083459,1
114,0434400,1
114,0434426,2
114,0703620,1
114,0703646,1
114,1422622,1
114,1422623,1
114,1503989,2
114,1618501,1
114,1852453,1
114,1852619,1
114,2000219,2
114,2479544,1
115,0358467,2
115,0716393,1
115,1201861,2
115,1553006,2
115,1794774,2
115,1840819,1
115,1859531,1
115,1878579,2
115,1882128,2
115,1940175,1
115,1946731,1
115,2038707,2
115,2395379,1
115,2450964,2
115,2451640,2
115,2556385,1
115,2590635,1
115,2671311,1
115,2823606,1
115,2891711,2
115,3107821,2
115,3156624,1
115,3354927,2
115,3637439,1
115,3700622,2
115,3706825,1
115,3849142,2
115,3916560,2
115,4078293,1
115,4079873,2
115,4080804,2
115,4094536,2
115,4095326,1
115,4095328,1
115,4096946,2
115,4100916,2
115,4101382,2
115,4102325,2
115,4109426,1
115,4115629,1
115,4116986,1
115,4123580,2
115,4126243,1
115,4134359,2
115,4138019,2
115,4138034,2
115,4140015,1
115,4153580,1
115,4205810,1
115,4206026,1
115,4263285,2
115,4264658,1
115,4377386,1
115,4465749,1
115,4537872,2
116,0032126,1
116,0036557,1
116,0055431,1
116,0124918,1
116,0152068,1
116,0152070,1
116,0434289,1
116,0434400,1
116,0434426,2
116,0703491,2
116,0703620,1
116,1353217,2
116,1488990,1
116,1503666,2
116,1503896,1
116,1503989,1
116,1618304,1
116,1618404,1
116,1618501,1
116,1618530,1
116,1999973,2
116,2000133,1
116,2479530,1
116,2479533,1
116,2479539,1
116,2479544,1
116,2479550,1
116,2479552,2
116,2541351,1
116,2800857,1
116,2989232,1
116,3353510,1
116,3871042,1
116,4163692,1
116,4477194,2
117,0190824,1
117,0198718,2
117,0349968,2
117,0444890,1
117,0475753,1
117,0517797,2
117,0559673,2
117,0637056,2
117,0689549,2
117,0716638,2
117,0721574,1
117,0738137,1
117,0817342,2
117,0916967,2
117,1107796,2
117,1300460,2
117,1307779,2
117,1477143,1
117,1679462,2
117,1732841,2
117,1805052,2
117,1872950,1
117,1873417,2
117,1926382,2
117,2206974,1
117,2220928,1
117,2254082,1
117,2309885,2
117,2358012,2
117,2450890,1
117,2463870,1
117,2635216,2
117,2670875,1
117,2775594,2
117,2946491,2
117,3245584,1
117,3323647,1
117,3326174,1
117,3535315,1
117,3970859,2
117,4147593,1
117,4192239,1
117,4221293,1
117,4260353,2
117,4283943,1
117,4493112,2
117,4499199,2
117,4536449,1
119,0275572,1
119,0275854,1
119,0414681,2
119,0543945,2
119,0544085,1
119,0677431,1
119,0677476,2
119,0720294,2
119,0791409,2
119,0813167,1
119,0821831,1
119,0824523,1
119,0831736,1
119,0957953,2
119,1024407,1
119,1090179,1
119,1103299,1
119,1160742,2
119,1181253,1
119,1218959,2
119,1395960,1
119,1405062,1
119,1465952,1
119,1586035,2
119,1647985,1
119,1676901,1
119,1752567,2
119,1798765,1
119,1867287,2
119,1868979,1
119,2003717,1
119,2006389,1
119,2022212,1
119,2051887,2
119,2093167,1
119,2306140,2
119,2335408,1
119,2420698,2
119,2459098,1
119,2576885,2
119,2607002,1
119,2645675,1
119,2725199,1
119,2731154,2
119,2750139,2
119,2824644,1
119,2858939,1
119,2878345,2
119,2904827,1
119,2975064,2
119,3120219,1
119,3742677,1
119,3742695,1
119,3778872,1
119,3901402,2
119,4022386,1
119,4028795,1
119,4030130,1
119,4036900,2
119,4058304,2
119,4189685,1
119,4223141,2
119,4239892,2
119,4342576,1
119,4357280,2
119,4379496,1
119,4437914,1
119,4491457,1
120,0657724,2
120,0774848,2
120,0862464,2
120,0906059,2
120,1027002,1
120,1031079,2
120,1195628,2
120,1198741,2
120,1240686,2
120,1341313,2
120,1351432,1
120,1656499,2
120,1661034,2
120,1661049,1
120,1664810,1
120,1751393,1
120,1945890,1
120,2361866,2
120,2450301,2
120,2590494,1
120,2590495,1
120,2717322,2
120,2868775,2
120,2996702,2
120,3012576,2
120,3325912,1
120,3527325,2
120,3530771,2
120,3563706,2
120,3746690,1
120,3755231,1
120,3870223,1
120,3873517,1
120,3912078,1
120,3966093,1
120,3983196,1
120,4059585,1
120,4071312,2
120,4071764,1
120,4077664,1
120,4081063,1
120,4081785,1
120,4092286,1
120,4102602,2
120,4105232,1
120,4113453,1
120,4117993,2
120,4119207,1
120,4119501,2
120,4131411,2
120,4135372,1
120,4139288,2
120,4140682,2
120,4195476,2
120,4197927,1
120,4206117,2
120,4283524,2
120,4348918,1
120,4479778,1
120,4490584,2
120,4498144,2
123,0001830,1
123,0101707,1
123,0148234,1
123,0227353,1
123,0495336,2
123,0587346,2
123,0625552,1
123,0744127,2
123,1072847,1
123,1075103,1
123,1161046,2
123,1272252,1
123,1354877,1
123,1385925,1
123,1402218,1
